customerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Churn,Contract
0074-HDKDG,15,25,1548.74,4,3,3,Potential Loyalists,No,One year
0076-LVEPS,18,31,1401.0,4,3,3,Potential Loyalists,No,Month-to-month
0078-XZMHT,18,73,6211.28,4,5,5,Champions,No,Two year
0080-EMYVY,12,14,730.39,4,2,2,Potential Loyalists,No,One year
0080-OROZO,12,36,3555.96,4,3,4,Needs Attention,No,One year
0082-LDZUE,30,1,45.56,2,1,1,Hibernating,No,Month-to-month
0082-OQIQY,29,31,2909.21,2,3,4,At Risk,No,Month-to-month
0083-PIVIK,27,66,5379.32,3,5,5,Needs Attention,No,One year
0089-IIQKO,18,40,4030.41,4,3,4,Needs Attention,No,Month-to-month
0093-EXYQL,18,42,3848.87,4,4,4,Champions,No,Month-to-month
0093-XWZFY,77,41,4233.74,1,4,4,At Risk,Yes,Month-to-month
0094-OIFMO,63,10,945.73,2,2,2,Hibernating,Yes,Month-to-month
0096-BXERS,16,8,408.49,4,2,2,Potential Loyalists,No,Month-to-month
0096-FCPUF,24,32,2080.4,3,3,3,Loyal Customers,No,Month-to-month
0098-BOWSO,6,28,545.96,5,3,2,Potential Loyalists,No,Month-to-month
0100-DUVFC,11,72,7564.55,5,5,5,Champions,No,One year
0103-CSITQ,7,56,6123.94,5,4,5,Champions,No,One year
0104-PPXDV,26,57,2860.5,3,4,4,Needs Attention,No,One year
0106-GHRQR,5,15,1067.31,5,2,3,Potential Loyalists,No,Month-to-month
0106-UGRDO,23,71,8132.84,3,5,5,Needs Attention,No,Two year
0107-WESLM,157,1,20.74,1,1,1,Hibernating,Yes,Month-to-month
0107-YHINA,87,3,296.86,1,1,2,Hibernating,Yes,Month-to-month
0111-KLBQG,16,32,3009.64,4,3,4,Needs Attention,No,Month-to-month
0112-QAWRZ,13,15,1354.95,4,2,3,Potential Loyalists,No,Month-to-month
0112-QWPNC,151,51,4288.84,1,4,4,At Risk,Yes,One year
0114-IGABW,28,72,4212.17,2,5,4,At Risk,No,Two year
0114-PEGZZ,12,34,3672.0,4,3,4,Needs Attention,No,Month-to-month
0114-RSRRW,20,11,225.19,3,2,1,Needs Attention,No,Month-to-month
0115-TFERT,181,21,2289.9,1,3,4,At Risk,Yes,Month-to-month
0117-LFRMW,105,36,1441.85,1,3,3,At Risk,Yes,Month-to-month
0118-JPNOY,1,25,2142.42,5,3,4,Needs Attention,No,Month-to-month
0121-SNYRK,11,50,1767.27,5,4,3,Loyal Customers,No,One year
0122-OAHPZ,142,6,415.47,1,1,2,Hibernating,Yes,Month-to-month
0123-CRBRT,15,60,5288.37,4,4,5,Champions,No,Two year
0125-LZQXK,104,17,1719.85,1,2,3,Needs Attention,Yes,Month-to-month
0128-MKWSG,16,25,1144.57,4,3,3,Potential Loyalists,No,Month-to-month
0129-KPTWJ,32,73,6895.52,2,5,5,At Risk,No,Month-to-month
0129-QMPDR,17,43,890.09,4,4,2,Loyal Customers,No,One year
0130-SXOUN,21,65,5810.05,3,5,5,Needs Attention,No,Month-to-month
0133-BMFZO,62,2,164.79,2,1,1,Hibernating,Yes,Month-to-month
0134-XWXCE,28,43,3215.45,2,4,4,At Risk,No,One year
0135-NMXAP,108,14,1278.16,1,2,3,Needs Attention,Yes,Month-to-month
0136-IFMYD,18,71,7817.54,4,5,5,Champions,No,Two year
0137-OCGAB,108,3,239.66,1,1,1,Hibernating,Yes,Month-to-month
0137-UDEUO,87,3,59.559999999999995,1,1,1,Hibernating,Yes,Month-to-month
0139-IVFJG,23,1,89.28,3,1,1,Needs Attention,No,Month-to-month
0141-YEAYS,7,26,2233.12,5,3,4,Needs Attention,No,Month-to-month
0142-GVYSN,26,26,525.07,3,3,2,Loyal Customers,No,Month-to-month
0147-ESWWR,28,38,3892.05,2,3,4,At Risk,No,Month-to-month
0148-DCDOS,47,25,2386.27,2,3,4,At Risk,Yes,Month-to-month
0151-ONTOV,163,3,214.8,1,1,1,Hibernating,Yes,Month-to-month
0156-FVPTA,69,24,1297.2,1,3,3,At Risk,Yes,Month-to-month
0164-APGRB,15,72,8236.88,4,5,5,Champions,No,Two year
0164-XAIRP,29,26,516.47,2,3,2,Needs Attention,No,Two year
0168-XZKBB,3,20,1745.0,5,2,3,Potential Loyalists,No,Month-to-month
0174-QRVVY,8,70,1754.21,5,5,3,Loyal Customers,No,Two year
0177-PXBAT,15,33,3671.47,4,3,4,Needs Attention,No,Month-to-month
0178-CIIKR,16,3,58.959999999999994,4,1,1,Potential Loyalists,No,Month-to-month
0178-SZBHO,7,49,4251.21,5,4,4,Champions,No,Month-to-month
0181-RITDD,32,62,6775.17,2,5,5,At Risk,No,Two year
0186-CAERR,8,73,8407.19,5,5,5,Champions,No,One year
0187-QSXOE,8,8,722.61,5,2,2,Potential Loyalists,No,Month-to-month
0187-WZNAB,17,29,2142.6,4,3,4,Needs Attention,No,Month-to-month
0188-GWFLE,5,1,19.58,5,1,1,Potential Loyalists,No,Month-to-month
0191-EQUUH,28,24,835.82,2,3,2,Needs Attention,No,Two year
0191-ZHSKZ,22,30,2237.64,3,3,4,Needs Attention,No,Month-to-month
0193-ESZXP,71,57,6023.15,1,4,5,At Risk,Yes,One year
0195-IESCP,106,12,1028.6100000000001,1,2,3,Needs Attention,Yes,Month-to-month
0196-JTUQI,13,9,665.37,4,2,2,Potential Loyalists,No,Month-to-month
0196-VULGZ,88,7,590.59,1,2,2,Hibernating,Yes,Month-to-month
0197-PNKNK,13,68,5698.17,4,5,5,Champions,No,One year
0201-MIBOL,28,67,6859.64,2,5,5,At Risk,No,Two year
0201-OAMXR,139,71,8182.72,1,5,5,At Risk,Yes,One year
0203-HHYIJ,40,27,682.11,2,3,2,Needs Attention,Yes,One year
0206-OYVOC,25,47,901.33,3,4,2,Loyal Customers,No,Two year
0206-TBWLC,26,54,6199.22,3,4,5,Needs Attention,No,One year
0207-MDKNV,49,17,1810.36,2,2,3,Needs Attention,Yes,Month-to-month
0208-BPQEJ,14,14,264.44,4,2,1,Potential Loyalists,No,Month-to-month
0212-ISBBF,27,22,1107.41,3,3,3,Loyal Customers,No,Month-to-month
0214-JHPFW,24,71,4097.05,3,5,4,Needs Attention,No,Two year
0215-BQKGS,8,29,2462.98,5,3,4,Needs Attention,No,Month-to-month
0218-QNVAS,27,71,7094.03,3,5,5,Needs Attention,No,One year
0219-QAERP,20,32,624.19,3,3,2,Loyal Customers,No,One year
0219-YTZUE,72,5,423.98,1,1,2,Hibernating,Yes,Month-to-month
0220-EBGCE,134,4,341.34000000000003,1,1,2,Hibernating,Yes,Month-to-month
0221-NAUXK,8,11,218.37,5,2,1,Potential Loyalists,No,One year
0221-WMXNQ,7,6,463.58,5,1,2,Potential Loyalists,No,Month-to-month
0222-CNVPT,14,54,2617.41,4,4,4,Champions,No,Month-to-month
0224-HJAPT,123,7,321.38,1,2,2,Hibernating,Yes,Month-to-month
0224-NIJLP,25,7,140.6,3,2,1,Needs Attention,No,Two year
0224-RLWWD,20,2,92.38,3,1,1,Needs Attention,No,Month-to-month
0225-ZORZP,32,5,403.59,2,1,2,Hibernating,No,Month-to-month
0228-MAUWC,24,21,1261.09,3,3,3,Loyal Customers,No,Month-to-month
0229-LFJAF,18,73,5115.16,4,5,5,Champions,No,Two year
0230-UBYPQ,12,64,2308.96,4,5,4,Champions,No,One year
0230-WEQUW,15,65,3657.85,4,5,4,Champions,No,Two year
0231-LXVAP,144,1,71.94,1,1,1,Hibernating,Yes,Month-to-month
0233-FTHAV,29,61,4857.97,2,4,5,At Risk,No,One year
0234-TEVTT,26,50,2251.21,3,4,4,Needs Attention,No,One year
0235-KGSLC,153,2,174.06,1,1,1,Hibernating,Yes,Month-to-month
0236-HFWSV,97,17,1561.35,1,2,3,Needs Attention,Yes,Month-to-month
0237-YFUTL,22,50,5429.02,3,4,5,Needs Attention,No,Month-to-month
0238-WHBIQ,14,73,6568.66,4,5,5,Champions,No,Two year
0239-OXEXL,25,45,3824.64,3,4,4,Needs Attention,No,Month-to-month
0244-LGNFY,8,74,6907.88,5,5,5,Champions,No,Two year
0247-SLUJI,31,3,59.620000000000005,2,1,1,Hibernating,No,Month-to-month
0248-IPDFW,13,2,101.43,4,1,1,Potential Loyalists,No,Month-to-month
0248-PGHBZ,18,67,6192.75,4,5,5,Champions,No,Two year
0253-ZTEOB,20,47,3736.07,3,4,4,Needs Attention,No,Two year
0254-FNMCI,23,72,7901.37,3,5,5,Needs Attention,No,Two year
0254-KCJGT,8,52,4202.41,5,4,4,Champions,No,One year
0254-WWRKD,12,66,3305.35,4,5,4,Champions,No,One year
0256-LTHVJ,59,27,2196.31,2,3,4,At Risk,Yes,Month-to-month
0257-KXZGU,19,31,1931.35,4,3,3,Potential Loyalists,No,Month-to-month
0257-ZESQC,134,29,2198.64,1,3,4,At Risk,Yes,Month-to-month
0258-NOKBL,25,5,459.18,3,1,2,Needs Attention,No,Month-to-month
0259-GBZSH,70,3,260.43,1,1,1,Hibernating,Yes,Month-to-month
0260-ZDLGK,38,10,712.54,2,2,2,Hibernating,Yes,Month-to-month
0263-FJTQO,11,50,3514.42,5,4,4,Champions,No,Two year
0264-CNITK,25,70,1411.43,3,5,3,Loyal Customers,No,Two year
0265-EDXBD,82,34,2552.4900000000002,1,3,4,At Risk,Yes,Month-to-month
0265-PSUAE,5,18,1811.66,5,2,3,Potential Loyalists,No,Month-to-month
0266-CLZKZ,4,66,7009.0199999999995,5,5,5,Champions,No,Two year
0266-GMEAO,10,72,8257.33,5,5,5,Champions,No,Two year
0268-QKIWO,143,2,39.24,1,1,1,Hibernating,Yes,Month-to-month
0269-XFESX,24,25,610.37,3,3,2,Loyal Customers,No,One year
0270-THENM,19,71,4998.08,4,5,5,Champions,No,Two year
0274-JKUJR,28,7,413.05,2,2,2,Hibernating,No,Month-to-month
0277-BKSQP,19,8,430.64,4,2,2,Potential Loyalists,No,Month-to-month
0277-ORXQS,17,66,3350.95,4,5,4,Champions,No,Two year
0278-YXOOG,53,6,125.58,2,1,1,Hibernating,Yes,Month-to-month
0280-XJGEX,103,49,5058.25,1,4,5,At Risk,Yes,Month-to-month
0281-CNTZX,26,64,1262.1,3,5,3,Loyal Customers,No,Two year
0282-NVSJS,20,13,384.42,3,2,2,Needs Attention,No,Month-to-month
0285-INHLN,18,27,1470.36,4,3,3,Potential Loyalists,No,Month-to-month
0289-IVARM,29,34,2064.98,2,3,3,At Risk,No,Month-to-month
0292-WEGCH,9,56,4795.67,5,4,5,Champions,No,Month-to-month
0295-PPHDO,161,1,98.54,1,1,1,Hibernating,Yes,Month-to-month
0295-QVKPB,19,5,330.84999999999997,4,1,2,Potential Loyalists,No,Month-to-month
0297-RBCSG,29,19,1263.62,2,2,3,Needs Attention,No,One year
0298-XACET,22,52,2614.96,3,4,4,Needs Attention,No,Two year
0301-FIDRB,19,73,4674.58,4,5,5,Champions,No,Two year
0301-KOBTQ,29,34,674.23,2,3,2,Needs Attention,No,Two year
0302-JOIVN,148,7,686.1,1,2,2,Hibernating,Yes,Month-to-month
0303-UNCIP,11,43,2813.5,5,4,4,Champions,No,One year
0303-WMMRN,10,4,77.91,5,1,1,Potential Loyalists,No,Month-to-month
0305-SQECB,26,13,470.87,3,2,2,Needs Attention,No,One year
0306-JAELE,93,5,481.37,1,1,2,Hibernating,Yes,Month-to-month
0307-BCOPK,29,18,335.78000000000003,2,2,2,Hibernating,No,One year
0308-GIQJT,11,70,7387.26,5,5,5,Champions,No,One year
0308-IVGOK,17,10,399.81,4,2,2,Potential Loyalists,No,One year
0310-MVLET,112,61,6038.97,1,4,5,At Risk,Yes,Month-to-month
0310-SUCIN,26,70,5932.18,3,5,5,Needs Attention,No,One year
0310-VQXAM,16,8,158.19,4,2,1,Potential Loyalists,No,Month-to-month
0311-QYWSS,15,8,385.64,4,2,2,Potential Loyalists,No,Month-to-month
0311-UNPFF,172,25,2243.31,1,3,4,At Risk,Yes,Month-to-month
0314-TKOSI,9,7,395.69,5,2,2,Potential Loyalists,No,Month-to-month
0315-LVCRK,10,10,854.64,5,2,2,Potential Loyalists,No,Month-to-month
0318-QUUOB,85,1,83.64,1,1,1,Hibernating,Yes,Month-to-month
0318-ZOPWS,23,48,968.64,3,4,3,Loyal Customers,No,Two year
0319-QZTCO,16,3,169.17000000000002,4,1,1,Potential Loyalists,No,Month-to-month
0320-DWVTU,27,55,5507.36,3,4,5,Needs Attention,No,Two year
0320-JDNQG,116,23,2252.49,1,3,4,At Risk,Yes,Month-to-month
0322-CHQRU,52,4,182.42000000000002,2,1,1,Hibernating,Yes,Month-to-month
0322-YINQP,83,1,48.0,1,1,1,Hibernating,Yes,Month-to-month
0323-XWWTN,25,5,134.13,3,1,1,Needs Attention,No,Two year
0324-BRPCJ,104,69,6907.36,1,5,5,At Risk,Yes,Month-to-month
0325-XBFAC,141,9,860.1800000000001,1,2,2,Hibernating,Yes,Month-to-month
0326-VDYXE,24,72,7064.5,3,5,5,Needs Attention,No,One year
0327-WFZSY,22,41,4119.34,3,4,4,Needs Attention,No,One year
0328-GRPMV,62,3,221.61,2,1,1,Hibernating,Yes,Month-to-month
0329-GTIAJ,110,5,485.5,1,1,2,Hibernating,Yes,Month-to-month
0330-BGYZE,6,60,6105.87,5,4,5,Champions,No,One year
0330-IVZHA,145,5,351.06,1,1,2,Hibernating,Yes,Month-to-month
0334-GDDSO,171,2,162.42,1,1,1,Hibernating,Yes,Month-to-month
0334-ZFJSR,18,55,3647.67,4,4,4,Champions,No,One year
0336-KXKFK,2,71,4331.68,5,5,4,Champions,No,Two year
0336-PIKEI,21,72,5382.09,3,5,5,Needs Attention,No,Two year
0337-CNPZE,34,40,4238.9,2,3,4,At Risk,Yes,Month-to-month
0343-QLUZP,34,59,2332.61,2,4,4,At Risk,No,Two year
0345-HKJVM,167,8,706.24,1,2,2,Hibernating,Yes,Month-to-month
0345-XMMUG,5,46,4982.09,5,4,5,Champions,No,Two year
0347-UBKUZ,15,17,338.19,4,2,2,Potential Loyalists,No,Month-to-month
0348-SDKOL,107,60,6059.2,1,4,5,At Risk,Yes,Month-to-month
0354-VXMJC,2,25,490.15,5,3,2,Potential Loyalists,No,Two year
0354-WYROK,112,32,3128.25,1,3,4,At Risk,Yes,Month-to-month
0356-ERHVT,25,13,596.18,3,2,2,Needs Attention,No,Month-to-month
0356-OBMAC,5,58,5815.27,5,4,5,Champions,No,Two year
0357-NVCRI,14,25,497.42,4,3,2,Potential Loyalists,No,Month-to-month
0361-HJRDX,23,70,4502.13,3,5,4,Needs Attention,No,Two year
0362-RAOQO,28,42,831.75,2,4,2,Needs Attention,No,Two year
0362-ZBZWJ,71,35,2985.93,1,3,4,At Risk,Yes,Month-to-month
0363-QJVFX,175,32,3501.48,1,3,4,At Risk,Yes,Month-to-month
0363-SVHYR,19,71,6202.3,4,5,5,Champions,No,Two year
0365-BZUWY,13,19,1958.68,4,2,3,Potential Loyalists,No,Month-to-month
0365-GXEZS,21,17,1322.05,3,2,3,Needs Attention,No,Month-to-month
0365-TRTPY,14,39,3543.07,4,3,4,Needs Attention,No,Month-to-month
0366-NQSHS,23,3,55.17,3,1,1,Needs Attention,No,Month-to-month
0369-ZGOVK,32,29,2072.78,2,3,3,At Risk,No,One year
0373-AIVNJ,31,11,447.77,2,2,2,Hibernating,No,One year
0374-AACSZ,19,2,95.59,4,1,1,Potential Loyalists,No,Month-to-month
0374-FIUCA,18,67,1354.32,4,5,3,Loyal Customers,No,Two year
0374-IOEGQ,23,4,181.45,3,1,1,Needs Attention,No,Month-to-month
0375-HVGXO,124,2,70.22,1,1,1,Hibernating,Yes,Month-to-month
0376-OIWME,10,38,3572.5,5,3,4,Needs Attention,No,Month-to-month
0376-YMCJC,138,23,2114.06,1,3,4,At Risk,Yes,Month-to-month
0377-JBKKT,34,24,1380.76,2,3,3,At Risk,No,Month-to-month
0378-CJKPV,27,72,7995.41,3,5,5,Needs Attention,No,Two year
0378-NHQXU,96,17,1495.07,1,2,3,Needs Attention,Yes,Month-to-month
0378-TOVMS,147,2,171.35000000000002,1,1,1,Hibernating,Yes,Month-to-month
0378-XSZPU,96,58,3461.85,1,4,4,At Risk,Yes,One year
0379-DJQHR,17,67,5438.8,4,5,5,Champions,No,Two year
0380-NEAVX,5,33,3283.88,5,3,4,Needs Attention,No,One year
0380-ZCSBI,4,9,184.0,5,2,1,Potential Loyalists,No,Month-to-month
0383-CLDDA,5,70,5932.4,5,5,5,Champions,No,Two year
0384-LPITE,28,41,2574.79,2,4,4,At Risk,No,One year
0384-RVBPI,27,20,1279.99,3,2,3,Needs Attention,No,Month-to-month
0386-CWRGM,26,45,884.4,3,4,2,Loyal Customers,No,Two year
0388-EOPEX,36,2,145.23000000000002,2,1,1,Hibernating,Yes,Month-to-month
0390-DCFDQ,34,1,70.29,2,1,1,Hibernating,Yes,Month-to-month
0392-BZIUW,5,74,7646.1,5,5,5,Champions,No,Two year
0394-YONDK,20,69,1741.39,3,5,3,Loyal Customers,No,Two year
0396-HUJBP,26,1,18.49,3,1,1,Needs Attention,No,Month-to-month
0396-UKGAI,9,25,1360.58,5,3,3,Potential Loyalists,No,Month-to-month
0396-YCHWO,12,38,3621.42,4,3,4,Needs Attention,No,Month-to-month
0397-GZBBC,164,61,5661.1,1,4,5,At Risk,Yes,Month-to-month
0397-ZXWQF,7,66,1344.28,5,5,3,Loyal Customers,No,Two year
0401-WDBXM,7,72,7593.65,5,5,5,Champions,No,Two year
0402-CQAJN,181,36,3619.32,1,3,4,At Risk,Yes,Month-to-month
0402-OAMEN,25,72,1744.31,3,5,3,Loyal Customers,No,Two year
0404-AHASP,16,73,1436.12,4,5,3,Loyal Customers,No,Two year
0404-SWRVG,174,2,161.96,1,1,1,Hibernating,Yes,Month-to-month
0406-BPDVR,119,53,5375.22,1,4,5,At Risk,Yes,One year
0407-BDJKB,60,59,5642.81,2,4,5,At Risk,Yes,Month-to-month
0409-WTMPL,16,59,6515.15,4,4,5,Champions,No,One year
0410-IPFTY,21,33,2753.43,3,3,4,Needs Attention,No,Month-to-month
0411-EZJZE,18,3,181.71,4,1,1,Potential Loyalists,No,Month-to-month
0412-UCCNP,12,55,3256.09,4,4,4,Champions,No,Two year
0415-MOSGF,114,1,41.94,1,1,1,Hibernating,Yes,Month-to-month
0419-YAAPX,26,49,4179.66,3,4,4,Needs Attention,No,Month-to-month
0420-BWTPW,143,9,234.9,1,2,1,Hibernating,Yes,Month-to-month
0420-HLGXF,5,38,3780.69,5,3,4,Needs Attention,No,Month-to-month
0420-TXVSG,24,65,4298.28,3,5,4,Needs Attention,No,Two year
0422-OHQHQ,23,15,304.52,3,2,2,Needs Attention,No,One year
0422-UXFAP,24,53,5225.38,3,4,5,Needs Attention,No,One year
0423-UDIJQ,8,8,391.17,5,2,2,Potential Loyalists,No,Month-to-month
0426-TIRNE,42,3,65.33,2,1,1,Hibernating,Yes,Month-to-month
0428-AXXLJ,14,26,508.41,4,3,2,Potential Loyalists,No,One year
0428-IKYCP,24,24,2116.0099999999998,3,3,4,Needs Attention,No,Month-to-month
0430-IHCDJ,6,14,703.65,5,2,2,Potential Loyalists,No,Month-to-month
0431-APWVY,156,28,2495.58,1,3,4,At Risk,Yes,One year
0432-CAJZV,5,3,271.79,5,1,1,Potential Loyalists,No,Month-to-month
0434-CSFON,30,47,4764.15,2,4,5,At Risk,No,Month-to-month
0436-TWFFZ,26,69,5936.62,3,5,5,Needs Attention,No,Two year
0439-IFYUN,12,20,1487.6,4,2,3,Potential Loyalists,No,Month-to-month
0440-EKDCF,1,63,3760.12,5,5,4,Champions,No,Two year
0440-MOGPM,8,43,3469.82,5,4,4,Champions,No,One year
0440-QEXBZ,21,46,2285.68,3,4,4,Needs Attention,No,Month-to-month
0440-UEDAI,24,55,5113.85,3,4,5,Needs Attention,No,One year
0442-TDYUO,34,50,1000.92,2,4,3,At Risk,No,Two year
0442-ZXKVS,21,53,6152.29,3,4,5,Needs Attention,No,One year
0447-BEMNG,53,47,2133.75,2,4,4,At Risk,Yes,Month-to-month
0447-RXSGD,19,23,2281.36,4,3,4,Needs Attention,No,Month-to-month
0454-OKRCT,7,33,2673.98,5,3,4,Needs Attention,No,Two year
0455-ENTCR,8,66,5626.91,5,5,5,Champions,No,Two year
0455-XFASS,18,4,286.35,4,1,1,Potential Loyalists,No,Month-to-month
0458-HEUZG,32,13,468.96999999999997,2,2,2,Hibernating,No,Two year
0459-SPZHJ,15,64,5382.42,4,5,5,Champions,No,Two year
0461-CVKMU,63,22,1856.63,2,3,3,At Risk,Yes,Month-to-month
0463-TXOAK,20,53,1359.21,3,4,3,Loyal Customers,No,Two year
0463-WZZKO,21,5,105.59,3,1,1,Needs Attention,No,Month-to-month
0463-ZSDNT,22,12,685.58,3,2,2,Needs Attention,No,Month-to-month
0464-WJTKO,28,72,1443.98,2,5,3,At Risk,No,Two year
0468-YRPXN,14,29,2890.52,4,3,4,Needs Attention,No,Month-to-month
0471-ARVMX,2,62,6464.76,5,5,5,Champions,No,One year
0471-LVHGK,118,41,3025.9,1,4,4,At Risk,Yes,One year
0475-RIJEP,110,43,3355.18,1,4,4,At Risk,Yes,Month-to-month
0479-HMSWA,19,28,3026.99,4,3,4,Needs Attention,No,Two year
0480-BIXDE,3,20,1941.22,5,2,3,Potential Loyalists,No,Month-to-month
0480-KYJVA,17,74,1780.8700000000001,4,5,3,Loyal Customers,No,Two year
0481-SUMCB,16,46,4755.28,4,4,5,Champions,No,One year
0484-FFVBJ,20,34,2203.19,3,3,4,Needs Attention,No,One year
0484-JPBRU,5,40,1024.71,5,3,3,Potential Loyalists,No,Month-to-month
0485-ZBSLN,28,65,1635.86,2,5,3,At Risk,No,Two year
0486-HECZI,114,56,5383.6900000000005,1,4,5,At Risk,Yes,Month-to-month
0486-LGCCH,25,11,210.9,3,2,1,Needs Attention,No,Two year
0487-CRLZF,29,51,3821.95,2,4,4,At Risk,No,Two year
0487-RPVUM,31,61,6092.51,2,4,5,At Risk,No,Month-to-month
0487-VVUVK,21,27,516.3,3,3,2,Loyal Customers,No,Month-to-month
0488-GSLFR,110,3,198.54,1,1,1,Hibernating,Yes,Month-to-month
0489-WMEMG,5,22,1082.6,5,3,3,Potential Loyalists,No,One year
0491-KAPQG,22,21,1569.73,3,3,3,Loyal Customers,No,Month-to-month
0495-RVCBF,68,1,78.13,2,1,1,Hibernating,Yes,Month-to-month
0495-ZBNGW,157,6,473.61,1,1,2,Hibernating,Yes,Month-to-month
0496-AHOOK,9,24,1785.91,5,3,3,Potential Loyalists,No,One year
0504-HHAPI,63,27,2387.85,2,3,4,At Risk,Yes,Month-to-month
0505-SPOOW,29,70,1396.57,2,5,3,At Risk,No,Two year
0506-LVNGN,59,7,537.18,2,2,2,Hibernating,Yes,Month-to-month
0506-YLVKJ,16,46,927.28,4,4,2,Loyal Customers,No,Two year
0508-OOLTO,30,4,290.58,2,1,1,Hibernating,No,Month-to-month
0508-SQWPL,13,59,1180.47,4,4,3,Loyal Customers,No,Two year
0511-JTEOY,91,2,150.35000000000002,1,1,1,Hibernating,Yes,Month-to-month
0512-FLFDW,29,62,6311.1,2,5,5,At Risk,No,One year
0513-RBGPE,15,39,2457.2400000000002,4,3,4,Needs Attention,No,Two year
0515-YPMCW,43,1,73.97,2,1,1,Hibernating,Yes,Month-to-month
0516-OOHAR,12,29,2921.97,4,3,4,Needs Attention,No,One year
0516-QREYC,25,26,518.33,3,3,2,Loyal Customers,No,Month-to-month
0516-UXRMT,33,64,5875.57,2,5,5,At Risk,No,One year
0516-VRYBW,44,17,338.72,2,2,2,Hibernating,Yes,One year
0516-WJVXC,115,6,321.16,1,1,2,Hibernating,Yes,Month-to-month
0519-DRGTI,25,19,392.41,3,2,2,Needs Attention,No,Month-to-month
0519-XUZJU,52,1,71.82,2,1,1,Hibernating,Yes,Month-to-month
0520-FDVVT,113,36,3641.88,1,3,4,At Risk,Yes,One year
0523-VNGTF,20,51,2592.9900000000002,3,4,4,Needs Attention,No,Month-to-month
0524-IAVZO,181,30,2556.63,1,3,4,At Risk,Yes,Month-to-month
0526-SXDJP,11,72,3023.7799999999997,5,5,4,Champions,No,Two year
0529-ONKER,72,17,1269.49,1,2,3,Needs Attention,Yes,Month-to-month
0530-IJVDB,19,72,8194.85,4,5,5,Champions,No,Two year
0531-XBKMM,20,67,4414.05,3,5,4,Needs Attention,No,Two year
